word,phonetics,origin,definition,partOfSpeech
latitudinarianism,ˌla-tə-ˌtü-də-ˈner-ē-ən,,not insisting on strict conformity to a particular doctrine or standard : tolerant; specifically : tolerant of variations in religious opinion or doctrine,adjective
intellectualizers,ˌin-tə-ˈlek-chə-wə-ˌlīz,,to give rational form or content to,verb
self-administration,ˌself-əd-ˌmi-nə-ˈstrā-shən,,the act of administering something to oneself,noun
dephosphorylated,(ˌ)dē-ˌfäs-fȯr-ə-ˈlā-shən,,the process of removing phosphate groups from an organic compound (such as ATP) by hydrolysis; also : the resulting state,noun
constitutionalize,ˌkän(t)-stə-ˈtü-shnə-ˌlīz,,to provide with a constitution : organize along constitutional principles,verb
psychophysically,ˌsī-kō-ˈfi-zi-kəl,,of or relating to psychophysics; also : sharing mental and physical qualities,adjective
nanotechnological,ˌna-nō-tek-ˈnä-lə-jē,,the manipulation of materials on an atomic or molecular scale especially to build microscopic devices (such as robots),noun
representativeness,ˌre-pri-ˈzen-tə-tiv,,"serving to represent; standing or acting for another especially through delegated authority; of, based on, or constituting a government in which the many are represented by persons chosen from among them usually by election",adjective
unassailablenesses,ˌən-ə-ˈsā-lə-bəl,,"not assailable : not liable to doubt, attack, or question",adjective
counterprogramming,ˌkau̇n-tər-ˈprō-ˌgra-miŋ,,the scheduling of programs by television networks so as to attract audiences away from simultaneously telecast programs of competitors,noun
counterconvention,ˌkau̇n-tər-kən-ˈven(t)-shən,,an assembly of persons gathered in response to or in protest against another assembly : a competing or opposing convention,noun
nonfossiliferous,ˌnän-ˌfä-sə-ˈli-f(ə-)rəs,,not containing fossils : not fossiliferous,adjective
ultranationalist,ˌəl-trə-ˈnash-nə-ˌli-zəm,,radical loyalty and devotion to a nation : extreme nationalism,noun
overintellectualizing,ˌō-vər-ˌin-tə-ˈlek-chə-wə-ˌlīz,,to intellectualize (something) to an excessive degree,verb
misanthropically,ˌmi-sᵊn-ˈthrä-pik,,"of, relating to, or characteristic of a misanthrope; marked by a hatred or contempt for humankind",adjective
internalizations,in-ˈtər-nə-ˌlīz,,"to give a subjective character to; specifically : to incorporate (values, patterns of culture, etc.) within the self as conscious or subconscious guiding principles through learning or socialization",verb
intellectualists,ˌin-tə-ˈlek-chə-wə-ˌli-zəm,,devotion to the exercise of intellect or to intellectual pursuits,noun
constitutionalisms,ˌkän(t)-stə-ˈtü-sh(ə-)nə-ˌli-zəm,,adherence to or government according to constitutional principles; also : a constitutional system of government,noun
microdensitometer,ˈmī-krō-ˌden(t)-sə-ˈtä-mə-tər,,a densitometer for measuring the densities of microscopic areas,noun
transformationalists,ˌtran(t)s-fər-ˈmā-shnə-list,,an exponent of transformational grammar,noun
counterconspiracy,ˌkau̇n-tər-kən-ˈspir-ə-sē,,a conspiracy to oppose or undermine something (such as another conspiracy),noun
antidesertification,ˌan-tē-di-ˌzər-tə-fə-ˈkā-shən,,intended to prevent or reduce desertification,adjective
interconvertibility,ˌin-tər-kən-ˈvər-zhən,,mutual conversion,noun
overintellectualization,ˌō-vər-ˌin-tə-ˈlek-chə-wə-ˌlīz,,to intellectualize (something) to an excessive degree,verb
counterproductive,ˌkau̇n-tər-prə-ˈdək-tiv,,tending to hinder the attainment of a desired goal,adjective
preauthorization,ˌprē-ˌȯ-th(ə-)rə-ˈzā-shən,,prior authorization; especially : authorization (as by an insurer) that is required prior to performance of a health-care service (such as a surgery or prescription of a drug),noun
biopharmaceuticals,ˌbī-ō-ˌfär-mə-ˈsü-ti-kəl,,a pharmaceutical derived from biological sources and especially one produced by biotechnology,noun
semiautobiographical,ˌse-mē-ˌȯ-tə-ˌbī-ə-ˈgra-fi-kəl,,"partly autobiography and partly fiction : being a fictionalized account of the author's life; also : of, relating to, or in the style of a semi-autobiographical work",adjective
noncomprehensible,ˌnän-ˌkäm-pri-ˈhen(t)-sə-bəl,,not comprehensible : incomprehensible,adjective
establishmentarianism,i-ˌsta-blish-mən-ˈter-ē-ən,,"of, relating to, or favoring the social or political establishment",adjective
overspeculations,ˌō-vər-ˈspe-kyə-ˌlāt,,to assume an excessive amount of business risk in speculating on something (such as stocks); to engage in excessive theorizing about something : to speculate too much about something,verb
expressionistically,ik-ˈspre-shə-ˌni-zəm,,a theory or practice in art of seeking to depict the subjective emotions and responses that objects and events arouse in the artist,noun
convertiblenesses,kən-ˈvər-tə-bəl,,capable of being converted; having a top that may be lowered or removed,adjective
ultraprofessional,ˌəl-trə-prə-ˈfesh-nəl,,"exhibiting an extremely courteous, conscientious, and generally businesslike manner in the workplace : extremely professional",adjective
depressurization,(ˌ)dē-ˈpre-shə-ˌrīz,,to release pressure from,verb
nonconstitutional,ˌnän-ˌkän(t)-stə-ˈtü-shnəl,,"not according to, consistent with, or involving the constitution of a body politic (such as a nation) : unconstitutional",adjective
spectrofluorometers,ˈspek-(ˌ)trō-ˌflu̇-ˈrä-mə-tər,,a device for measuring and recording fluorescence spectra,noun
contradistinguishes,ˌkän-trə-di-ˈstiŋ-gwish,,to distinguish by contrasting qualities,verb
de-Stalinization,(ˌ)dē-ˌstä-lə-nə-ˈzā-shən,,the discrediting of Stalin and his policies,noun
magnetohydrodynamic,mag-ˌnē-tō-ˌhī-drə-dī-ˈna-mik,,"of, relating to, or being phenomena arising from the motion of electrically conducting fluids (such as plasmas) in the presence of electric and magnetic fields",adjective
inter-denominational,ˌin-tər-di-ˌnä-mə-ˈnā-sh(ə-)nəl,,occurring between or among or common to different religious denominations,adjective
counter-statements,ˌkau̇n-tər-ˈstāt-mənt,,a statement opposing or denying another statement,noun
co-administrations,ˌkō-əd-ˌmi-nə-ˈstrā-shən,,the administration of two or more drugs together,noun
dimethylnitrosamine,ˌdī-ˌme-thəl-nī-ˈtrō-sə-ˌmēn,,a carcinogenic nitrosamine C2H6N2O that occurs especially in tobacco smoke,noun
traditionalistic,trə-ˈdish-nə-ˌli-zəm,,"adherence to the doctrines or practices of a tradition; the beliefs of those opposed to modernism, liberalism, or radicalism",noun
intercorrelations,ˌin-tər-ˌkȯr-ə-ˈlā-shən,,correlation between the members of a group of variables and especially between independent variables,noun
intercommunication,ˌin-tər-kə-ˈmyü-nə-ˌkāt,,to exchange communication with one another; to afford passage from one to another,verb
noncomprehension,ˌnän-ˌkäm-pri-ˈhen(t)-shən,,lack of comprehension : failure to comprehend,noun
counter-institutions,ˌkau̇n-tər-ˌin(t)-stə-ˈtü-shən,,an institution formed to oppose or counteract another institution,noun
intertestamental,ˌin-tər-ˌte-stə-ˈmen-tᵊl,,"of, relating to, or forming the period of two centuries between the composition of the last book of the Old Testament and the first book of the New Testament",adjective
otorhinolaryngologists,ˌō-tō-ˌrī-nō-ˌler-ən-ˈgä-lə-jist,,a physician specializing in otorhinolaryngology : otolaryngologist,noun
thermodynamically,ˌthər-mō-dī-ˈna-mik,,"of or relating to thermodynamics; being or relating to a system of atoms, molecules, colloidal particles, or larger bodies considered as an isolated group in the study of thermodynamic processes",adjective
exchangeabilities,,,"to part with, give, or transfer in consideration of something received as an equivalent; to have replaced by other merchandise; to part with for a substitute",verb
changeablenesses,ˈchān-jə-bəl,,capable of change: such as; able or apt to vary; subject to change : alterable,adjective
supranationality,ˌsü-prə-ˈnash-nəl,,"transcending national boundaries, authority, or interests",adjective
hydrometeorologist,ˌhī-drō-ˌmē-tē-ə-ˈrä-lə-jē,,a branch of meteorology that deals with water in the atmosphere especially as precipitation,noun
antinationalists,ˌan-tē-ˈnash-nə-list,,opposed to nationalism or to a nationalist movement or government,adjective
ultranationalism,ˌəl-trə-ˈnash-nə-ˌli-zəm,,radical loyalty and devotion to a nation : extreme nationalism,noun
noncommunicative,ˌnän-kə-ˈmyü-nə-ˌkā-tiv,,"not communicative:; unable or not tending to communicate information, thoughts, or feelings; not of or relating to communication",adjective
subclassification,ˌsəb-ˌkla-sə-fə-ˈkā-shən,,a primary division of a classification; arrangement into or assignment to subclassifications,noun
constitutionalist,ˌkän(t)-stə-ˈtü-sh(ə-)nə-ˌli-zəm,,adherence to or government according to constitutional principles; also : a constitutional system of government,noun
hyperconcentrations,ˌhī-pər-ˌkän(t)-sən-ˈtrā-shən,,intense or excessive concentration,noun
nonmathematician,ˌnän-ˌmath-mə-ˈti-shən,,a person who is not a mathematician,noun
hyperimmunizations,ˌhī-pər-ˈi-myə-ˌnīz,,"to induce a high level of immunity or of circulating antibodies in (as by a long course of injections of antigen, repeated increasing doses of antigen, or the use of adjuvants with the antigen)",verb
countereducation,ˌkau̇n-tər-ˌe-jə-ˈkā-shən,,"education that is intended to challenge or counteract specific beliefs, views, or tendencies of the person being educated",noun
antipathetically,ˌan-ti-pə-ˈthe-tik,,having a natural aversion; also : not sympathetic : hostile; arousing antipathy,adjective
neuroendocrinologies,ˌnu̇r-ō-ˌen-də-kri-ˈnä-lə-jē,,a branch of the life sciences dealing with neurosecretion and the physiological interaction between the central nervous system and the endocrine system,noun
overfertilizations,ˌō-vər-ˈfər-tə-ˌlīz,,"to fertilize (something, such as a crop) more than is necessary or appropriate",verb
interinstitutional,ˌin-tər-ˌin(t)-stə-ˈt(y)ü-sh(ə-)nəl,,existing or occurring between institutions,adjective
desanctifications,(ˌ)dē-ˈsaŋ(k)-tə-ˌfī,,desacralize,verb
hyper-aggressively,ˌhī-pər-ə-ˈgre-siv,,extremely or excessively aggressive,adjective
self-mortification,ˌself-ˌmȯr-tə-fə-ˈkā-shən,,the infliction of pain or discomfort on oneself,noun
noninterventionist,ˌnän-ˌin-tər-ˈven(t)-shən,,the state or policy of not intervening,noun
archiepiscopates,ˌär-kē-ə-ˈpi-skə-pət,,archbishopric,noun
electroluminescences,i-ˌlek-trō-ˌlü-mə-ˈne-sᵊnt,,of or relating to luminescence resulting from a high-frequency discharge through a gas or from application of a current to a layer of phosphor,adjective
anti-conservation,ˌan-tē-ˌkän(t)-sər-ˈvā-shən,,opposing or hostile toward policies or practices intended to promote conservation of natural resources,adjective
disreputableness,(ˌ)dis-ˈre-pyə-tə-bəl,,not reputable,adjective
electrophotographic,i-ˌlek-trō-fə-ˈtä-grə-fē,,photography in which images are produced by electrical means (as in xerography),noun
anti-authoritarianism,ˌan-tē-ȯ-ˌthär-ə-ˈter-ē-ən,,"opposed or hostile toward authority, authoritarians, or authoritarianism",adjective
interprofessional,ˌin-tər-prə-ˈfe-sh(ə-)nəl,,occurring between or involving two or more professions or professionals,adjective
radiochemistries,ˌrā-dē-ō-ˈke-mə-strē,,a branch of chemistry dealing with radioactive substances and phenomena including tracer studies,noun
spectrofluorometry,ˈspek-(ˌ)trō-ˌflu̇-ˈrä-mə-tər,,a device for measuring and recording fluorescence spectra,noun
microcrystalline,ˈmī-krō-ˌkri-stᵊl,,a microscopic crystal,noun
professionalizes,prə-ˈfesh-nə-ˌlīz,,to give a professional character to,verb
ununderstandable,ˌən-ˌən-dər-ˈstan-də-bəl,,impossible to understand : not understandable,adjective
rechromatography,(ˌ)rē-ˌkrō-mə-ˈtä-grə-fē,,a repeated process or instance of chromatography,noun
indistinguishable,ˌin-di-ˈstiŋ-gwi-shə-bəl,,not distinguishable: such as; lacking identifying or individualizing qualities; not clearly recognizable or understandable,adjective
neurophysiologically,ˌnu̇r-ō-ˌfi-zē-ˈä-lə-jē,,physiology of the nervous system,noun
interdenominational,ˌin-tər-di-ˌnä-mə-ˈnā-sh(ə-)nəl,,occurring between or among or common to different religious denominations,adjective
nonrepresentative,ˌnän-ˌre-pri-ˈzen-tə-tiv,,"not representative: such as; not serving as a typical or characteristic example; not of, based on, or constituting a government in which the many are represented by persons chosen from among them usually by election",adjective
crystallographic,ˌkri-stə-lə-ˈgra-fik,,of or relating to crystals or crystallography,adjective
oversensitivities,ˌō-vər-ˈsen(t)-sə-tiv,,"excessively sensitive: such as; too easily bothered, upset, offended, etc.; excessively or abnormally susceptible or responsive to a particular agent or stimulus (such as a drug, antigen, or sound)",adjective
historicalnesses,hi-ˈstȯr-i-kəl,,"of, relating to, or having the character of history; based on history; used in the past and reproduced in historical presentations",adjective
counterconspiracies,ˌkau̇n-tər-kən-ˈspir-ə-sē,,a conspiracy to oppose or undermine something (such as another conspiracy),noun
mis-informations,ˌmis-ˌin-fər-ˈmā-shən,,incorrect or misleading information,noun
microspectrophotometers,ˌmī-krə-ˌspek-trə-fō-ˈtä-mə-tər,,a spectrophotometer adapted to the examination of light transmitted by a very small specimen (such as a single biological cell),noun
hypernationalistic,ˌhī-pər-ˌnash-nə-ˈli-stik,,extremely or excessively nationalistic,adjective
systematizations,ˈsi-stə-mə-ˌtīz,,to arrange in accord with a definite plan or scheme : order systematically,verb
histophysiologic,ˌhi-stō-ˌfi-zē-ˈä-lə-jē,,a branch of physiology concerned with the function and activities of tissues; structural and functional tissue organization,noun
incommensurability,ˌin-kə-ˈmen(t)-s(ə-)rə-bəl,,not commensurable; broadly : lacking a basis of comparison in respect to a quality normally subject to comparison,adjective
vernacularization,vər-ˈna-kyə-lə-ˌrīz,,to render into or express in a vernacular,verb
dehydrochlorinates,(ˌ)dē-ˌhī-drə-ˌklȯr-ə-ˈnā-shən,,the process of removing hydrogen and chlorine or hydrogen chloride from a compound,noun
denationalization,(ˈ)dē-ˈnash-nə-ˌlīz,,to divest of national character or rights; to remove from ownership or control by the national government,verb
stereospecifically,ˌster-ē-ō-spi-ˈsi-fik,,"being, produced by, or involved in a stereochemically specific process",adjective
counterreformation,ˌkau̇n-tər-ˌre-fər-ˈmā-shən,,the reform movement in the Roman Catholic Church following the Reformation; a reformation designed to counter the effects of a previous reformation,noun
counterreactions,ˌkau̇n-tər-rē-ˈak-shən,,a reaction in response or opposition to the main reaction,noun
collaborationism,kə-ˌla-bə-ˈrā-shə-ˌni-zəm,,the advocacy or practice of collaboration with an enemy,noun
supernaturalists,ˌsü-pər-ˈna-chə-rə-ˌli-zəm,,the quality or state of being supernatural; belief in a supernatural power and order of existence,noun
hyper-intelligent,ˌhī-pər-in-ˈte-lə-jənt,,extremely intelligent,adjective
anti-imperialist,ˌan-tē-im-ˈpir-ē-ə-ˌli-zəm,,opposition to or hostility toward imperialism,noun
circumstantiates,ˌsər-kəm-ˈstan(t)-shē-ˌāt,,to supply with circumstantial evidence or support,verb
counter-interpretation,ˌkau̇n-tər-in-ˌtər-prə-ˈtā-shən,,an alternative or contradictory interpretation,noun
microcalorimetric,ˌmī-krō-ˌka-lə-ˈri-mə-tər,,an instrument for measuring very small quantities of heat,noun
thermoplasticity,ˌthər-mə-ˈpla-stik,,capable of softening or fusing when heated and of hardening again when cooled,adjective
denominationalisms,di-ˌnä-mə-ˈnā-shə-nə-ˌli-zəm,,devotion to denominational principles or interests; the emphasizing of denominational differences to the point of being narrowly exclusive : sectarianism,noun
magnetohydrodynamics,mag-ˌnē-tō-ˌhī-drə-dī-ˈna-mik,,"of, relating to, or being phenomena arising from the motion of electrically conducting fluids (such as plasmas) in the presence of electric and magnetic fields",adjective
methylprednisolones,ˌme-thəl-pred-ˈni-sə-ˌlōn,,a glucocorticoid C22H30O5 that is a derivative of prednisolone and is used as an anti-inflammatory agent; also : any of several of its salts (such as an acetate) used similarly,noun
communicativenesses,kə-ˈmyü-nə-ˌkā-tiv,,tending to communicate : talkative; of or relating to communication,adjective
polysynaptically,ˌpä-lē-sə-ˈnap-tik,,involving two or more synapses in the central nervous system,adjective
phenomenologically,fi-ˌnä-mə-nə-ˈlä-ji-kəl,,of or relating to phenomenology; phenomenal; of or relating to phenomenalism,adjective
counterdemonstration,ˌkau̇n-tər-ˌde-mən-ˈstrā-shən,,a demonstration occurring in opposition to another demonstration,noun
geochronologically,ˌjē-ō-krə-ˈnä-lə-jē,,the chronology of the past as indicated by geologic data; the study of geochronology,noun
indistinguishableness,ˌin-di-ˈstiŋ-gwi-shə-bəl,,not distinguishable: such as; lacking identifying or individualizing qualities; not clearly recognizable or understandable,adjective
polyacrylonitriles,ˌpä-lē-ˌa-krə-lō-ˈnī-trəl,,a polymer of acrylonitrile used often as fibers,noun
overdocumentations,ˌō-vər-ˈdä-kyə-mənt,,to document (something) excessively,verb
otolaryngologies,ˌō-tō-ˌler-ən-ˈgä-lə-jē,,"a medical specialty concerned especially with the ear, nose, and throat and related parts of the head and neck —called also otorhinolaryngology",noun
supranationalists,ˌsü-prə-ˈnash-nəl,,"transcending national boundaries, authority, or interests",adjective
anti-libertarians,ˌan-tē-ˌli-bər-ˈter-ē-ən,,opposed to or hostile toward libertarian principles,noun
establishmentarianisms,i-ˌsta-blish-mən-ˈter-ē-ən,,"of, relating to, or favoring the social or political establishment",adjective
counter-deployment,ˌkau̇n-tər-di-ˈplȯi-mənt,,the act or an instance of deploying something or someone in response to a deployment by another group,noun
thermoelectricity,ˌthər-mō-i-ˌlek-ˈtri-sə-tē,,electricity produced by the direct action of heat (as by the unequal heating of a circuit composed of two dissimilar metals),noun
pentachlorophenol,ˌpen-tə-ˌklȯr-ə-ˈfē-ˌnōl,,a crystalline compound C6Cl5OH used especially as a wood preservative and fungicide and a disinfectant,noun
counterpetitions,ˌkau̇n-tər-pə-ˈti-shən,,a petition that supports or advocates positions or actions counter to those supported or advocated in another petition : an opposing petition,noun
thermoelectricities,ˌthər-mō-i-ˌlek-ˈtri-sə-tē,,electricity produced by the direct action of heat (as by the unequal heating of a circuit composed of two dissimilar metals),noun
representativities,ˌre-pri-ˈzen-tə-tiv,,"serving to represent; standing or acting for another especially through delegated authority; of, based on, or constituting a government in which the many are represented by persons chosen from among them usually by election",adjective
transcendentalist,ˌtran(t)-ˌsen-ˈden-tə-ˌli-zəm,,a philosophy that emphasizes the a priori conditions of knowledge and experience or the unknowable character of ultimate reality or that emphasizes the transcendent as the fundamental reality; a philosophy that asserts the primacy of the spiritual and transcendental over the material and empirical; the quality or state of being transcendental; especially : visionary idealism,noun
physiopathological,ˈfi-zē-ō-pə-ˈthä-lə-jē,,a branch of biology or medicine that combines physiology and pathology especially in the study of altered bodily function in disease,noun
hyperinvolutions,ˌhī-pər-ˌin-və-ˈlü-shən,,unusually rapid return to normal or less than normal size of an organ (such as the uterus) following enlargement,noun
intergenerational,ˌin-tər-ˌje-nə-ˈrā-sh(ə-)nəl,,existing or occurring between generations,adjective
intercommunicating,ˌin-tər-kə-ˈmyü-nə-ˌkāt,,to exchange communication with one another; to afford passage from one to another,verb
internationalisms,ˌin-tər-ˈna-sh(ə-)nə-ˌli-zəm,,"international character, principles, interests, or outlook; a policy of cooperation among nations; an attitude or belief favoring such a policy",noun
electrocardiography,i-ˌlek-trō-ˈkär-dē-ə-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
overtalkativeness,ˌō-vər-ˈtȯ-kə-tiv,,abnormally or excessively talkative : tending to talk too much,adjective
anti-conservationists,ˌan-tē-ˌkän(t)-sər-ˈvā-shən,,opposing or hostile toward policies or practices intended to promote conservation of natural resources,adjective
nonrepresentationalisms,ˌnän-ˌre-pri-ˌzen-ˈtā-shnəl,,nonobjective,adjective
photoreconnaissances,ˌfō-tō-ri-ˈkä-nə-zən(t)s,,reconnaissance in which aerial photographs are taken,noun
paraprofessionals,ˌper-ə--prə-ˈfesh-nəl,,a trained aide who assists a professional person (such as a teacher or doctor),noun
self-classification,ˌself-ˌkla-sə-fə-ˈkā-shən,,the act or process of identifying oneself as belonging to a particular class or category : the classifying of oneself,noun
hypersensitisation,ˌhī-pər-ˈsen(t)-sə-ˌtīz,,to cause extreme or excessive sensitivity in : to make (something or someone) hypersensitive,verb
incontrovertible,(ˌ)in-ˌkän-trə-ˈvər-tə-bəl,,not open to question : indisputable,adjective
stereoscopically,ˌster-ē-ə-ˈskä-pik,,of or relating to stereoscopy or the stereoscope; characterized by stereoscopy,adjective
stereoregularity,ˌster-ē-ō-ˈre-gyə-lər,,"of, relating to, or involving stereochemical regularity in the repeating units of a polymeric structure",adjective
foreseeabilities,fȯr-ˈsē-ə-bəl,,being such as may be reasonably anticipated; lying within the range for which forecasts are possible,adjective
recertifications,(ˌ)rē-ˌsər-tə-fə-ˈkā-shən,,the act or process of certifying or being certified again,noun
mathematizations,ˌmath-mə-tə-ˈzā-shən,,reduction to mathematical form,noun
interventricular,ˌin-tər-ven-ˈtri-kyə-lər,,situated or occurring between ventricles,adjective
counter-adaptive,ˌkau̇n-tər-ˌa-ˌdap-ˈtā-shən,,"adaptation of an organism (as in modification of behavior, physiology, or form) in response to an adaptation of another organism with which it regularly interacts; also : a favorable trait that arises as a result of counteradaptation; opposition to the effect of a drug or stimulus that is hypothesized to develop in an organism as a mechanism to maintain homeostasis",noun
denuclearization,(ˈ)dē-ˈn(y)ü-klē-ə-ˌrīz,,to remove nuclear arms from : prohibit the use of nuclear arms in,verb
polyphiloprogenitive,ˌpä-lē-ˌfi-lə-prō-ˈje-nə-tiv,,extremely prolific : philoprogenitive,adjective
over-stimulation,ˌō-vər-ˈstim-yə-ˌlāt,,to stimulate to an excessive or abnormal degree,verb
phrasemongerings,ˈfrāz-ˌməŋ-gər,,phrasemaker,noun
inconceivability,ˌin-kən-ˈsē-və-bəl,,not conceivable: such as; unbelievable; impossible to comprehend,adjective
pseudopregnancies,ˌsü-dō-ˈpreg-nən(t)-sē,,pseudocyesis; an anestrous state resembling pregnancy that occurs in various mammals usually after an infertile copulation,noun
companionability,kəm-ˈpan-yə-nə-bəl,,"marked by, conducive to, or suggestive of companionship : sociable",adjective
counter-retaliation,ˌkau̇n-tər-ri-ˌta-lē-ˈā-shən,,an act of retaliating against a previous retaliatory act,noun
nonproductiveness,ˌnän-prə-ˈdək-tiv,,not productive: such as; failing to produce or yield : unproductive; not directly concerned with production,adjective
transilluminations,ˌtran(t)s-ə-ˈlü-mə-ˌnāt,,to cause light to pass through; especially : to pass light through (a body part) for medical examination,verb
indissolubleness,ˌin-di-ˈsäl-yə-bəl,,"not dissoluble; especially : incapable of being annulled, undone, or broken : permanent",adjective
anagrammatization,ˌa-nə-ˈgra-mə-ˌtīz,,to transpose the letters in (a word or phrase) so as to form an anagram,verb
interchangeableness,ˌin-tər-ˈchān-jə-bəl,,capable of being interchanged; especially : permitting mutual substitution,adjective
overconcentrations,ˌō-vər-ˌkän(t)-sən-ˈtrā-shən,,"excessive concentration : the state or an instance of having too much of something or too many things or people concentrated in one place', ""the act or an instance of concentrating too much of one's attention, effort, or resources on something or someone""]",noun
nonrepresentational,ˌnän-ˌre-pri-ˌzen-ˈtā-shnəl,,nonobjective,adjective
equalitarianisms,i-ˌkwä-lə-ˈter-ē-ən,,egalitarian,adjective or noun
miscommunication,ˌmis-kə-ˌmyü-nə-ˈkā-shən,,failure to communicate clearly,noun
interchangeabilities,ˌin-tər-ˈchān-jə-bəl,,capable of being interchanged; especially : permitting mutual substitution,adjective
counter-statement,ˌkau̇n-tər-ˈstāt-mənt,,a statement opposing or denying another statement,noun
bioelectricities,ˌbī-(ˌ)ō-i-ˈlek-trik,,of or relating to electric phenomena in living organisms,adjective
constitutionalists,ˌkän(t)-stə-ˈtü-sh(ə-)nə-ˌli-zəm,,adherence to or government according to constitutional principles; also : a constitutional system of government,noun
unchangeablenesses,ˌən-ˈchān-jə-bəl,,not changing or to be changed : immutable,adjective
untrustworthiest,ˌən-ˈtrəst-ˌwər-t͟hē,,not dependable or worthy of confidence : not trustworthy,adjective
intellectualizations,ˌin-tə-ˈlek-chə-wə-ˌlīz,,to give rational form or content to,verb
forethoughtfulness,ˈfȯr-ˌthȯt-fəl,,full of or having forethought,adjective
intellectualizer,ˌin-tə-ˈlek-chə-wə-ˌlīz,,to give rational form or content to,verb
interiorizations,in-ˈtir-ē-ə-ˌrīz,,"[""to make interior; especially : to make a part of one's own inner being or mental structure""]",verb
uncharacteristically,ˌən-ˌker-ik-tə-ˈri-stik,,not characteristic : not typical or distinctive,adjective
archaeoastronomies,ˌär-kē-(ˌ)ō-ə-ˈsträ-nə-mē,,the study of the astronomy of ancient cultures,noun
professionalization,prə-ˈfesh-nə-ˌlīz,,to give a professional character to,verb
microcalorimeters,ˌmī-krō-ˌka-lə-ˈri-mə-tər,,an instrument for measuring very small quantities of heat,noun
desulfurizations,(ˌ)dē-ˌsəl-fər-ə-ˈzā-shən,,the removal of sulfur or sulfur compounds (as from coal or flue gas),noun
misappropriating,ˌmi-sə-ˈprō-prē-ˌāt,,to appropriate wrongly (as by theft or embezzlement),verb
particularizations,pər-ˌti-k(yə-)lə-rə-ˈzā-shən,,the act of particularizing : the condition of being particularized,noun
radioautographic,ˌrā-dē-ō-ˈȯ-tə-ˌgraf,,autoradiograph,noun
spectrofluorometer,ˈspek-(ˌ)trō-ˌflu̇-ˈrä-mə-tər,,a device for measuring and recording fluorescence spectra,noun
misunderstanding,(ˌ)mi-ˌsən-dər-ˈstan-diŋ,,"a failure to understand : misinterpretation; quarrel, disagreement",noun
uncontroversially,ˌən-ˌkän-trə-ˈvər-shəl,,not likely to be disputed or to cause strife or quarrel : not relating to or arousing controversy,adjective
magnetoencephalography,mag-ˌnē-tō-in-ˌse-fə-ˈlä-grə-fē,,a noninvasive technique that detects and records the magnetic field associated with electrical activity in the brain,noun
oversensitiveness,ˌō-vər-ˈsen(t)-sə-tiv,,"excessively sensitive: such as; too easily bothered, upset, offended, etc.; excessively or abnormally susceptible or responsive to a particular agent or stimulus (such as a drug, antigen, or sound)",adjective
overcentralizations,ˌō-vər-ˈsen-trə-ˌlīz,,"to centralize (something, such as power or authority) to an excessive degree",verb
hysterosalpingogram,ˌhi-stə-rō-ˌsal-ˈpiŋ-gə-ˌgram,,a radiograph made by hysterosalpingography,noun
unsubstantiality,ˌən-səb-ˈstan(t)-shəl,,"not substantial : lacking substance, firmness, or strength",adjective
